TICKER,PRICE,K_SCORE
TRADFI_KEP,17.3,1.6
TRADFI_MOB,7.975,1.6
TRADFI_THM,1.86,1.6
TRADFI_SPRO,2.33,1.6
TRADFI_ALEC,1.28,1.6
TRADFI_COHN,18.405,1.6
TRADFI_AMTD,1.075,1.6
TRADFI_INNV,5.05,1.6
TRADFI_SOGP,14.81,1.59
TRADFI_ACON,6.105,1.59
TRADFI_CWD,1.8,1.59
TRADFI_LGCY,10.48,1.59
TRADFI_SWAG,2.06,1.59
TRADFI_ARKOW,0.01,1.59
TRADFI_ATMVR,1.06,1.59
TRADFI_HUBCW,0.0196,1.59
TRADFI_TEL,236.2,1.59
TRADFI_BARK,0.68,1.59
TRADFI_ARMG,10.2552,1.59
TRADFI_RBB,21.19,1.59
TRADFI_UFO,36.31,1.59
TRADFI_CTOR,1.16,1.59
TRADFI_RSI,19.18,1.59
TRADFI_CBUS,1.69,1.59
TRADFI_AGNCZ,25.79,1.59
TRADFI_TTEQ,33.4547,1.59
TRADFI_FLTW,61.59,1.59
TRADFI_EB,4.44,1.59
TRADFI_WETH,1.965,1.59
TRADFI_SKLZ,5.89,1.59
TRADFI_ASTL,4.3,1.59
TRADFI_III,6.04,1.59
TRADFI_CMPR,72.31,1.59
TRADFI_NFBK,11.45,1.58
TRADFI_ODP,28.0,1.58
TRADFI_CEPF,10.31,1.58
TRADFI_IMTE,0.8588,1.58
TRADFI_INHD,0.158,1.58
TRADFI_SIFY,11.06,1.58
TRADFI_EDGH,30.255,1.58
TRADFI_SPOG,12.7756,1.58
TRADFI_ARBK,0.188,1.58
TRADFI_GLDY,16.78,1.58
TRADFI_GPRE,9.94,1.58
TRADFI_PII,67.0,1.58
TRADFI_TPB,102.56,1.58
TRADFI_FOXX,6.09,1.58
TRADFI_DTI,3.07,1.58
TRADFI_DCRE,51.979,1.58
TRADFI_TECK,44.73,1.58
TRADFI_LABD,22.05,1.58
TRADFI_IRMD,96.76,1.58
TRADFI_CHYM,24.29,1.58
TRADFI_CXM,8.06,1.58
TRADFI_CJET,0.87,1.58
TRADFI_PNRG,192.16,1.58
TRADFI_TDAY,5.34,1.58
TRADFI_UAE,19.38,1.58
TRADFI_NXL,0.9982,1.58
TRADFI_SNCR,8.565,1.57
TRADFI_IMKTA,74.06,1.57
TRADFI_EWD,48.55,1.57
TRADFI_RPD,16.19,1.57
TRADFI_CTXR,1.2,1.57
TRADFI_FIGS,11.61,1.57
TRADFI_WIMI,3.16,1.57
TRADFI_BASG,26.1528,1.57
TRADFI_EBF,17.68,1.57
TRADFI_IIPRPA,24.3,1.57
TRADFI_NDAQ,90.72,1.57
TRADFI_BNGO,1.66,1.57
TRADFI_DOYU,7.1,1.57
TRADFI_BMRN,53.74,1.57
TRADFI_INR,14.96,1.57
TRADFI_ARKO,4.92,1.57
TRADFI_MOVE,7.67,1.57
TRADFI_RDHL,1.2,1.57
TRADFI_BEEP,2.84,1.57
TRADFI_MBIN,34.645,1.57
TRADFI_TSEM,124.0,1.57
TRADFI_IPST,6.45,1.57
TRADFI_RVSN,0.38,1.57
TRADFI_MGPI,24.39,1.56
TRADFI_OPAD,2.02,1.56
TRADFI_INTW,52.56,1.56
TRADFI_XNTK,286.54,1.56
TRADFI_HKD,1.56,1.56
TRADFI_SNBR,7.83,1.56
TRADFI_CLOI,52.9,1.56
TRADFI_PLAG,2.31,1.56
TRADFI_HMR,1.2,1.56
TRADFI_CAPTW,0.0349,1.56
TRADFI_IE,15.41,1.56
TRADFI_RBOT,2.9,1.56
TRADFI_CLNN,6.23,1.56
TRADFI_EPOW,1.05,1.56
TRADFI_BAIG,14.7366,1.56
TRADFI_WF,57.49,1.56
TRADFI_NAMM,1.26,1.56
TRADFI_MPLT,18.85,1.56
TRADFI_OFAL,0.8703,1.56
TRADFI_CLIP,100.19,1.56
TRADFI_PACB,2.43,1.56
TRADFI_ROM,100.05,1.56
TRADFI_QFLR,34.79,1.56
TRADFI_USNA,20.06,1.56
TRADFI_CNXT,43.49,1.56
TRADFI_GO,11.39,1.55
TRADFI_GLIBK,31.74,1.55
TRADFI_MCS,15.85,1.55
TRADFI_PRGO,13.32,1.55
TRADFI_AXIAP,12.66,1.55
TRADFI_GMOI,32.96,1.55
TRADFI_APYX,4.07,1.55
TRADFI_SGRT,25.45,1.55
TRADFI_FMX,103.4,1.55
TRADFI_RICK,27.37,1.55
TRADFI_OWLT,16.18,1.55
TRADFI_ZYXI,0.8501,1.55
TRADFI_IAS,10.28,1.55
TRADFI_SGDJ,85.47,1.55
TRADFI_COLD,11.26,1.55
TRADFI_APAM,41.65,1.55
TRADFI_BL,58.37,1.55
TRADFI_TBLA,4.18,1.55
TRADFI_RCS,7.0,1.55
TRADFI_MHH,7.48,1.55
TRADFI_TRFK,68.28,1.55
TRADFI_BBAI.WS,2.07,1.55
TRADFI_AOUT,7.7,1.55
TRADFI_CTRA,26.86,1.55
TRADFI_RSST,28.09,1.54
TRADFI_ARM,141.93,1.54
TRADFI_OSCG,12.7652,1.54
TRADFI_AESI,10.12,1.54
TRADFI_AMIX,0.8329,1.54
TRADFI_VIRT,35.56,1.54
TRADFI_BAND,15.65,1.54
TRADFI_CLDI,1.52,1.54
TRADFI_SLVO,99.6145,1.54
TRADFI_NWSA,25.95,1.54
TRADFI_JSML,74.933,1.54
TRADFI_PSN,65.16,1.54
